Hexa,Cube,N,E,Name
108400846F8421,0.1.1.0.2.2.0.3.3.0.4.4.7.5.5.6.6.6.0.4.4.7.5.5.0.8.8,2000,3332,
108400C7AC0421,0.1.1.0.2.2.0.3.3.5.4.4.5.6.6.5.6.6.0.4.4.0.7.7.0.8.8,1232,1736,
10840087AC0461,0.1.1.0.2.2.0.3.3.0.4.4.6.5.5.6.5.5.0.4.4.7.7.7.0.8.8,1382,1970,
10840185A00C2D,0.1.1.0.2.2.0.3.3.4.4.4.0.5.5.0.5.5.6.6.6.0.7.7.0.7.7,1513,2844,
1085F084000463,0.1.1.4.2.2.0.3.3.0.1.1.4.2.2.0.0.0.0.5.5.6.6.6.7.7.7,1105,1896,
108400846D8423,0.1.1.0.2.2.0.3.3.0.4.4.0.5.5.6.6.6.0.4.4.0.5.5.7.7.7,1358,2256,
10843184200C2D,0.1.1.0.2.2.0.3.3.4.4.4.0.2.2.0.5.5.6.6.6.0.7.7.0.7.7,933,1288,
108430C60005A3,0.1.1.0.2.2.0.3.3.5.4.4.5.2.2.5.0.0.0.6.6.0.6.6.7.7.7,86,116,
188670C4000C60,2.1.1.2.3.3.0.4.4.2.5.5.2.3.3.0.0.0.6.6.6.7.7.7.0.0.0,248,336,
16840004638423,0.1.1.0.1.1.0.2.2.0.0.0.5.3.3.4.4.4.0.6.6.5.3.3.7.7.7,166,228,
16840184038423,0.1.1.0.1.1.0.2.2.3.3.3.5.4.4.0.0.0.0.6.6.5.4.4.7.7.7,204,276,
30B40184038421,1.1.1.0.2.2.0.2.2.3.3.3.5.4.4.0.0.0.0.6.6.5.4.4.0.7.7,412,564,
108400B46007A1,0.1.1.0.2.2.0.3.3.0.4.4.0.4.4.5.5.5.7.6.6.7.6.6.0.8.8,1003,1846,
100400F62007A1,0.1.1.0.0.0.0.2.2.4.3.3.4.3.3.4.5.5.7.6.6.7.6.6.0.8.8,782,1378,
108400847D8421,0.1.1.0.2.2.0.3.3.7.4.4.0.5.5.6.6.6.7.4.4.0.5.5.0.8.8,963,1492,
10840085BC0461,0.1.1.0.2.2.0.3.3.6.4.4.0.5.5.0.5.5.6.4.4.7.7.7.0.8.8,667,946,
10044085BE0421,0.1.1.3.0.0.0.2.2.6.4.4.3.5.5.0.5.5.6.4.4.3.7.7.0.8.8,594,830,
1007C085A00461,3.1.1.4.0.0.0.2.2.3.1.1.4.5.5.0.5.5.0.6.6.7.7.7.0.8.8,654,920,
1085B084000C63,0.1.1.0.2.2.0.3.3.0.1.1.0.2.2.0.0.0.4.4.4.5.5.5.6.6.6,53,102,
10058085A00C63,0.1.1.0.0.0.0.2.2.0.1.1.0.3.3.0.3.3.4.4.4.5.5.5.6.6.6,39,54,
100C00847D8421,0.1.1.0.0.0.2.2.2.6.3.3.0.4.4.5.5.5.6.3.3.0.4.4.0.7.7,756,1112,
1087B084000463,4.1.1.0.2.2.0.3.3.4.1.1.0.2.2.0.0.0.0.5.5.6.6.6.7.7.7,438,798,
1087B084000C61,4.1.1.0.2.2.0.3.3.4.1.1.0.2.2.0.0.0.5.5.5.6.6.6.0.7.7,241,450,
10040085BC0463,0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.4.4.5.3.3.6.6.6.7.7.7,209,284,
31840085BC0401,1.1.1.2.2.2.0.3.3.6.4.4.0.5.5.0.5.5.6.4.4.0.0.0.0.7.7,246,332,
5000C7AC0614,0.0.0.1.0.2.1.0.2.4.3.3.4.5.5.4.5.5.6.3.3.6.0.7.6.0.7,47,64,
10818087A00C23,0.1.1.0.2.2.0.0.0.0.1.1.4.3.3.4.3.3.5.5.5.0.6.6.7.7.7,204,280,
108400842F8423,0.1.1.0.2.2.0.3.3.0.4.4.7.5.5.0.6.6.0.4.4.7.5.5.8.8.8,9014,14744,
10843086200C2D,0.1.1.0.2.2.0.3.3.0.4.4.5.2.2.5.6.6.7.7.7.0.8.8.0.8.8,6956,9496,
108400843F8421,0.1.1.0.2.2.0.3.3.7.4.4.8.5.5.0.6.6.7.4.4.8.5.5.0.9.9,9152,14744,
10840085BE0421,0.1.1.0.2.2.0.3.3.6.4.4.7.5.5.0.5.5.6.4.4.7.8.8.0.9.9,7828,11380,
1081B884204C21,0.1.1.0.2.2.3.0.0.0.1.1.0.2.2.3.4.4.5.5.5.0.6.6.3.7.7,80,132,
1085B084200C23,0.1.1.0.2.2.0.3.3.0.1.1.0.2.2.0.4.4.5.5.5.0.6.6.7.7.7,219,424,
108400B42007B1,0.1.1.0.2.2.0.3.3.0.4.4.0.4.4.0.5.5.7.6.6.7.6.6.7.8.8,5502,8680,
108400841F8423,0.1.1.0.2.2.0.3.3.6.4.4.7.5.5.0.0.0.6.4.4.7.5.5.8.8.8,5096,8180,
1084308420063D,0.1.1.0.2.2.0.3.3.0.4.4.0.2.2.0.5.5.7.6.6.7.8.8.7.8.8,4342,5872,
108430C40007A3,0.1.1.0.2.2.0.3.3.5.4.4.5.2.2.0.0.0.7.6.6.7.6.6.8.8.8,4157,5600,
108400843DC421,0.1.1.0.2.2.0.3.3.7.4.4.0.5.5.8.6.6.7.4.4.0.5.5.8.9.9,3149,4770,
33B60180041C,3.4.5.0.1.2.0.1.2.3.4.5.0.1.2.0.1.2.0.6.6.7.8.9.7.8.9,3136,4860,
10840085BC4421,0.1.1.0.2.2.0.3.3.6.4.4.0.5.5.7.5.5.6.4.4.0.8.8.7.9.9,2788,4000,
10040085BE4421,0.1.1.0.0.0.0.2.2.5.3.3.6.4.4.7.4.4.5.3.3.6.8.8.7.9.9,2764,3960,
100408843DC421,0.1.1.0.0.0.3.2.2.7.4.4.0.5.5.3.6.6.7.4.4.0.5.5.3.8.8,348,528,
108600841DC421,4.1.1.0.2.2.0.3.3.4.5.5.0.6.6.7.0.0.4.5.5.0.6.6.7.8.8,998,1528,
10840184638C21,0.1.1.0.2.2.0.3.3.4.4.4.7.5.5.6.6.6.8.8.8.7.5.5.0.9.9,380,656,
10840184618C23,0.1.1.0.2.2.0.3.3.4.4.4.0.5.5.6.6.6.7.7.7.0.5.5.8.8.8,160,304,
81B646000C23,0.2.3.0.1.1.0.4.5.6.2.3.6.1.1.6.4.5.7.7.7.0.8.8.9.9.9,50,68,
108400F4200C63,0.1.1.0.2.2.0.3.3.5.4.4.5.4.4.0.6.6.7.7.7.8.8.8.9.9.9,506,976,
818646018631,0.2.3.0.1.1.0.4.5.6.2.3.6.7.7.6.4.5.9.8.8.9.7.7.9.10.10,378,628,
81B646000631,0.2.3.0.1.1.0.4.5.6.2.3.6.1.1.6.4.5.8.7.7.8.9.9.8.10.10,972,1696,
83FE04120420,2.3.4.5.1.1.6.7.8.2.3.4.5.1.1.6.7.8.2.9.9.5.10.10.0.0.0,320,564,
108400C6218631,0.1.1.0.2.2.0.3.3.5.4.4.5.6.6.5.7.7.9.8.8.9.6.6.9.10.10,620,1128,
188400F4200463,2.1.1.2.3.3.0.4.4.6.5.5.6.5.5.0.7.7.0.8.8.9.9.9.10.10.10,648,1048,
188400F4200C61,2.1.1.2.3.3.0.4.4.6.5.5.6.5.5.0.7.7.8.8.8.9.9.9.0.10.10,1114,1640,
83FE04000461,2.3.4.5.1.1.6.7.8.2.3.4.5.1.1.6.7.8.0.9.9.10.10.10.0.11.11,124,220,
83FE04000462,2.3.4.5.1.1.6.7.8.2.3.4.5.1.1.6.7.8.0.9.9.10.10.10.11.11.0,101,176,
83FE04080031,2.3.4.5.1.1.6.7.8.2.3.4.5.1.1.6.7.8.0.3.0.10.9.9.10.11.11,114,164,
83FE04080221,2.3.4.5.1.1.6.7.8.2.3.4.5.1.1.6.7.8.9.3.0.9.10.10.0.11.11,81,112,
83FE04000C21,2.3.4.5.1.1.6.7.8.2.3.4.5.1.1.6.7.8.9.9.9.0.10.10.0.11.11,2704,3976,
33EC01800846,3.4.5.6.1.2.7.1.2.3.4.5.6.1.8.7.1.8.9.9.0.10.10.11.12.12.11,440,632,Bicube / Meffert
21131308C0085A,1.1.0.2.2.3.0.0.3.1.1.0.4.4.3.5.5.3.6.6.0.7.7.0.7.7.0,621,904,
B400838C043D,0.0.0.0.1.1.0.1.1.0.2.2.3.4.5.3.4.5.0.2.2.7.6.6.7.6.6,660,984,
1013968090002D,3.1.1.0.0.2.0.4.2.3.1.1.0.0.2.0.4.2.3.0.0.0.5.5.0.5.5,92,124,
10139E8080002D,3.1.1.0.0.2.4.5.2.3.1.1.0.0.2.4.5.2.0.0.0.0.6.6.0.6.6,1168,1680,
F400818C043D,0.0.0.2.1.1.2.1.1.0.3.3.0.4.5.0.4.5.0.3.3.7.6.6.7.6.6,1054,1532,
2013930080085E,1.1.3.0.0.2.0.0.2.1.1.3.0.0.2.0.0.2.4.4.0.5.5.6.5.5.6,580,828,3 Quads 3 Stripes
201B930080005E,1.1.4.0.0.2.3.3.2.1.1.4.0.0.2.0.0.2.0.0.0.5.5.6.5.5.6,285,396,
1007AE8020042D,3.1.1.0.4.0.5.2.2.3.1.1.0.4.0.5.2.2.0.6.6.0.7.7.0.7.7,796,1136,
10B4008C6C0463,0.1.1.0.2.2.0.2.2.0.3.3.4.4.4.5.5.5.0.3.3.6.6.6.7.7.7,102,144,
10B4018C600C2D,0.1.1.0.2.2.0.2.2.3.3.3.4.4.4.5.5.5.6.6.6.0.7.7.0.7.7,156,312,
1183808C60043D,3.1.1.2.2.2.0.0.0.3.1.1.4.4.4.5.5.5.0.6.6.8.7.7.8.7.7,114,168,
10B4018C60043D,0.1.1.0.2.2.0.2.2.3.3.3.4.4.4.5.5.5.0.6.6.8.7.7.8.7.7,164,328,
63000838C043D,0.1.2.0.1.2.0.1.2.0.3.3.4.5.6.4.5.6.0.3.3.8.7.7.8.7.7,208,280,
210B0118C00C5A,1.1.0.2.2.0.3.3.0.1.1.4.5.5.4.6.6.4.7.7.7.8.8.0.8.8.0,116,156,
1085C684220C21,0.1.1.4.2.2.0.3.3.0.1.1.4.5.5.0.3.3.6.6.6.4.7.7.0.8.8,326,532,
47000838C043D,0.1.0.2.1.3.2.1.3.0.4.4.5.6.7.5.6.7.0.4.4.9.8.8.9.8.8,510,708,
70138380043D,0.0.0.1.2.3.1.2.3.4.4.4.5.6.3.5.6.3.0.7.7.9.8.8.9.8.8,468,644,
108440843E3421,0.1.1.4.2.2.0.3.3.8.5.5.4.6.6.0.7.7.8.5.5.4.9.9.0.7.7,576,984,
10858684200C63,0.1.1.0.2.2.0.3.3.0.1.1.0.4.4.0.3.3.5.5.5.6.6.6.7.7.7,43,82,
67000830C043D,0.1.2.3.1.2.3.1.2.0.4.4.5.6.0.5.6.0.0.4.4.8.7.7.8.7.7,248,332,
108780806005A3,4.1.1.0.2.2.0.3.3.4.1.1.0.0.0.5.5.5.0.6.6.0.6.6.7.7.7,376,528,
10878680200C61,4.1.1.0.2.2.0.3.3.4.1.1.0.0.0.0.3.3.5.5.5.6.6.6.0.7.7,320,632,
472920280003D,4.1.5.2.1.3.2.1.3.4.0.5.6.0.3.6.0.3.0.0.0.8.7.7.8.7.7,284,396,
108400803C7461,0.1.1.0.2.2.0.3.3.6.4.4.0.0.0.7.5.5.6.4.4.8.8.8.7.5.5,324,520,
108408803C3461,0.1.1.0.2.2.4.3.3.7.5.5.0.0.0.4.6.6.7.5.5.8.8.8.0.6.6,222,352,
100F80846005A3,3.1.1.0.0.0.2.2.2.3.1.1.0.4.4.5.5.5.0.6.6.0.6.6.7.7.7,16,22,
13FE0080402D,2.3.4.5.6.1.7.8.1.2.3.4.5.6.1.7.8.1.0.0.0.0.9.9.7.9.9,892,1192,
13FE0084002D,2.3.4.5.6.1.7.8.1.2.3.4.5.6.1.7.8.1.0.0.4.0.9.9.0.9.9,1000,1336,
13FE0090002D,2.3.4.5.6.1.7.8.1.2.3.4.5.6.1.7.8.1.2.0.0.0.9.9.0.9.9,980,1312,
108400862C063D,0.1.1.0.2.2.0.3.3.0.4.4.6.5.5.6.7.7.8.4.4.8.9.9.8.9.9,707,944,
108600843E3421,4.1.1.0.2.2.0.3.3.4.5.5.8.6.6.0.7.7.4.5.5.8.9.9.0.7.7,952,1576,
308400843E3421,1.1.1.0.2.2.0.3.3.7.4.4.8.5.5.0.6.6.7.4.4.8.9.9.0.6.6,250,432,
1003FE8000042D,2.1.1.3.4.5.6.7.8.2.1.1.3.4.5.6.7.8.0.9.9.0.10.10.0.10.10,3180,4496,
1013FE80800421,3.1.1.4.5.2.6.7.2.3.1.1.4.5.2.6.7.2.0.8.8.0.9.9.0.10.10,2756,3880,
108400843E7421,0.1.1.0.2.2.0.3.3.7.4.4.8.5.5.9.6.6.7.4.4.8.10.10.9.6.6,3116,4752,
10079E80300421,3.1.1.0.0.4.5.2.2.3.1.1.0.0.4.5.2.2.3.6.6.0.7.7.0.8.8,610,968,
1007DE80200C01,3.1.1.4.0.5.6.2.2.3.1.1.4.0.5.6.2.2.7.7.7.0.0.0.0.8.8,740,1200,
1003DA8000043D,2.1.1.3.0.4.5.0.6.2.1.1.3.0.4.5.0.6.0.7.7.9.8.8.9.8.8,490,688,
13DA0080043D,2.3.4.5.0.1.6.0.1.2.3.4.5.0.1.6.0.1.0.7.7.9.8.8.9.8.8,436,608,
10039E8000043D,2.1.1.0.0.3.4.5.6.2.1.1.0.0.3.4.5.6.0.7.7.9.8.8.9.8.8,432,604,
53DA0280041C,3.4.5.1.0.2.1.0.2.3.4.5.1.0.2.1.0.2.0.6.6.7.8.9.7.8.9,415,584,
1184008C7C0463,0.1.1.2.2.2.0.3.3.7.4.4.5.5.5.6.6.6.7.4.4.8.8.8.9.9.9,74,148,
2308010C7C0863,1.1.2.3.3.2.4.4.0.5.5.8.6.6.6.7.7.7.5.5.8.9.9.9.10.10.10,60,84,
2118018C600C5E,1.1.0.2.2.3.4.4.3.5.5.5.6.6.6.7.7.7.8.8.8.9.9.10.9.9.10,96,192,
108C00847E0423,0.1.1.0.2.2.3.3.3.7.4.4.8.5.5.6.6.6.7.4.4.8.9.9.10.10.10,196,392,
21189308C00C46,1.1.5.2.2.3.4.4.3.6.6.5.7.7.3.8.8.3.9.9.9.10.10.11.12.12.11,96,128,
308C0184620C23,1.1.1.0.2.2.3.3.3.4.4.4.7.5.5.6.6.6.8.8.8.7.9.9.10.10.10,22,44,
B42DB5A1,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.1.1.0.1.1.0.2.2,4,8,Unbandaged Big Block V1
8000B46F85A0,0.0.0.0.1.1.0.0.0.0.2.2.4.2.2.3.3.3.0.2.2.4.2.2.0.0.0,20,32,
18000B42D85A1,0.0.0.1.1.1.0.0.0.0.2.2.0.2.2.0.3.3.0.2.2.0.2.2.0.4.4,74,118,
B46D85A3,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.2.2.2.0.1.1.0.1.1.3.3.3,12,18,
100000B46D85A1,0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.3.3.3.0.2.2.0.2.2.0.4.4,126,204,
8000B42F85A1,0.0.0.0.1.1.0.0.0.0.2.2.4.2.2.0.3.3.0.2.2.4.2.2.0.5.5,558,960,
8C00B42D85A0,0.0.0.0.1.1.2.2.2.0.3.3.0.3.3.0.4.4.0.3.3.0.3.3.0.0.0,91,144,
108000B42D85A1,0.1.1.0.2.2.0.0.0.0.3.3.0.3.3.0.4.4.0.3.3.0.3.3.0.5.5,970,1640,
108000B40D85A3,0.1.1.0.2.2.0.0.0.0.3.3.0.3.3.0.0.0.0.3.3.0.3.3.4.4.4,310,480,
100400B42D85A1,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.4.4.0.3.3.0.3.3.0.5.5,1048,1748,
300000B40D85A3,1.1.1.0.0.0.0.0.0.0.2.2.0.2.2.0.0.0.0.2.2.0.2.2.3.3.3,21,30,
100C00B40D85A1,0.1.1.0.0.0.2.2.2.0.3.3.0.3.3.0.0.0.0.3.3.0.3.3.0.4.4,477,720,
80400B40D87A1,1.0.0.1.0.0.0.2.2.0.3.3.0.3.3.0.0.0.4.3.3.4.3.3.0.5.5,807,1308,
18FFC0C60,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.2.2.2.1.1.1.3.3.3.0.0.0,5,7,
180708C2005AD,0.0.0.1.1.1.0.0.0.0.2.2.1.1.1.0.3.3.0.4.4.0.4.4.0.4.4,42,60,
1001808FEC0421,0.1.1.0.0.0.0.0.0.0.1.1.2.2.2.2.2.2.0.1.1.0.3.3.0.4.4,62,88,
18FFC0C03,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.2.2.2.1.1.1.0.0.0.3.3.3,16,22,
1000018FFC0C01,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.3.3.3.2.2.2.0.0.0.0.4.4,50,70,
1005808FEC0401,0.1.1.0.0.0.0.2.2.0.1.1.3.3.3.3.3.3.0.1.1.0.0.0.0.4.4,86,122,
80008C2FB461,0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.0.4.4.0.2.2.3.3.3.0.4.4,48,96,
8001FC2035A1,0.0.0.0.1.1.0.0.0.2.2.2.2.2.2.0.3.3.0.4.4.0.4.4.0.3.3,40,64,
108030842DB421,0.1.1.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4.0.3.3.0.2.2.0.4.4,80,164,
1000008FEC042D,0.1.1.0.0.0.0.0.0.0.2.2.3.3.3.3.3.3.0.2.2.0.4.4.0.4.4,60,92,
18001FC6005A1,0.0.0.1.1.1.0.0.0.2.2.2.2.2.2.3.3.3.0.4.4.0.4.4.0.5.5,39,78,
180718C60042D,0.0.0.1.1.1.0.0.0.2.2.2.1.1.1.3.3.3.0.4.4.0.5.5.0.5.5,30,44,
8001FC6005A3,0.0.0.0.1.1.0.0.0.2.2.2.2.2.2.3.3.3.0.4.4.0.4.4.5.5.5,96,192,
80008C6F8463,0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.4.4.4.0.2.2.3.3.3.5.5.5,96,180,
8407FC200C60,0.0.0.0.1.1.0.2.2.3.3.3.3.3.3.0.2.2.4.4.4.5.5.5.0.0.0,76,108,
8400F7A0042D,0.0.0.0.1.1.0.2.2.4.3.3.4.3.3.4.3.3.0.5.5.0.6.6.0.6.6,194,388,
108000F7A0042D,0.1.1.0.2.2.0.0.0.4.3.3.4.3.3.4.3.3.0.5.5.0.6.6.0.6.6,338,676,
18401FC2005A1,0.0.0.1.1.1.0.2.2.3.3.3.3.3.3.0.4.4.0.5.5.0.5.5.0.6.6,324,596,
118001FC2005A1,0.1.1.2.2.2.0.0.0.3.3.3.3.3.3.0.4.4.0.5.5.0.5.5.0.6.6,182,328,
108401FC203061,0.1.1.0.2.2.0.3.3.4.4.4.4.4.4.0.5.5.0.0.0.6.6.6.0.5.5,272,404,
108407FC200061,0.1.1.0.2.2.0.3.3.4.4.4.4.4.4.0.3.3.0.0.0.5.5.5.0.6.6,152,220,
108030846D8423,0.1.1.0.2.2.0.0.0.0.3.3.0.2.2.4.4.4.0.3.3.0.2.2.5.5.5,122,233,
1180008C0F8463,0.1.1.2.2.2.0.0.0.0.3.3.4.4.4.0.0.0.0.3.3.4.4.4.5.5.5,119,238,
401FC203C61,0.0.0.0.0.0.0.1.1.2.2.2.2.2.2.0.3.3.4.4.4.5.5.5.0.3.3,93,131,
108230846D8421,3.1.1.0.2.2.0.0.0.3.4.4.0.2.2.5.5.5.0.4.4.0.2.2.0.6.6,72,118,
108430846D8421,0.1.1.0.2.2.0.3.3.0.4.4.0.2.2.5.5.5.0.4.4.0.2.2.0.6.6,183,322,
108070840FC421,0.1.1.3.2.2.0.0.0.0.4.4.3.2.2.5.0.0.0.4.4.3.2.2.5.6.6,85,170,
108470840F8421,0.1.1.4.2.2.0.3.3.0.5.5.4.2.2.0.0.0.0.5.5.4.2.2.0.6.6,197,394,
20401FC203461,0.0.1.0.0.1.0.2.2.3.3.3.3.3.3.0.4.4.0.5.5.6.6.6.0.4.4,64,90,
100401FC203461,0.1.1.0.0.0.0.2.2.3.3.3.3.3.3.0.4.4.0.5.5.6.6.6.0.4.4,158,232,
1080008C2F8463,0.1.1.0.2.2.0.0.0.0.3.3.4.4.4.0.5.5.0.3.3.4.4.4.6.6.6,792,1480,
8401FC203C21,0.0.0.0.1.1.0.2.2.3.3.3.3.3.3.0.4.4.5.5.5.0.6.6.0.4.4,616,848,
108030842FC421,0.1.1.0.2.2.0.0.0.0.3.3.5.2.2.6.4.4.0.3.3.5.2.2.6.7.7,544,944,
108430842F8421,0.1.1.0.2.2.0.3.3.0.4.4.6.2.2.0.5.5.0.4.4.6.2.2.0.7.7,1430,2536,
8401FC203621,0.0.0.0.1.1.0.2.2.3.3.3.3.3.3.0.4.4.6.5.5.6.7.7.0.4.4,462,648,
108401FC203421,0.1.1.0.2.2.0.3.3.4.4.4.4.4.4.0.5.5.0.6.6.0.7.7.0.5.5,1232,1800,
108400B5A00C2D,0.1.1.0.2.2.0.3.3.0.4.4.0.4.4.0.4.4.5.5.5.0.6.6.0.6.6,648,1176,
1084008C0F8463,0.1.1.0.2.2.0.3.3.0.4.4.5.5.5.0.0.0.0.4.4.5.5.5.6.6.6,684,1308,
10B4008C038463,0.1.1.0.2.2.0.2.2.0.3.3.4.4.4.0.0.0.0.5.5.4.4.4.6.6.6,516,708,
108230842DC421,3.1.1.0.2.2.0.0.0.3.4.4.0.2.2.6.5.5.0.4.4.0.2.2.6.7.7,130,200,
108430842DC421,0.1.1.0.2.2.0.3.3.0.4.4.0.2.2.6.5.5.0.4.4.0.2.2.6.7.7,556,908,
108430843D8421,0.1.1.0.2.2.0.3.3.6.4.4.0.2.2.0.5.5.6.4.4.0.2.2.0.7.7,708,1176,
24400B7A0042D,0.0.1.2.0.1.2.3.3.0.4.4.5.4.4.5.4.4.0.6.6.0.7.7.0.7.7,142,240,
100400B7A0043D,0.1.1.0.0.0.0.2.2.0.3.3.4.3.3.4.3.3.0.5.5.7.6.6.7.6.6,720,1236,
104400B7A0042D,0.1.1.2.0.0.2.3.3.0.4.4.5.4.4.5.4.4.0.6.6.0.7.7.0.7.7,576,980,
100400F5B20621,0.1.1.0.0.0.0.2.2.4.3.3.4.3.3.0.3.3.4.5.5.4.6.6.0.7.7,632,916,
100401FC203621,0.1.1.0.0.0.0.2.2.3.3.3.3.3.3.0.4.4.6.5.5.6.7.7.0.4.4,496,700,
180000F5B20381,2.1.1.2.0.0.0.0.0.4.3.3.4.3.3.0.3.3.4.5.6.4.5.6.0.7.7,118,160,
104400B5A0043D,0.1.1.2.0.0.2.3.3.0.4.4.0.4.4.0.4.4.0.5.5.7.6.6.7.6.6,233,360,
104400B5A0062D,0.1.1.2.0.0.2.3.3.0.4.4.0.4.4.0.4.4.6.5.5.6.7.7.0.7.7,154,232,
2008810FF80806,1.1.3.0.0.0.2.2.0.4.4.3.5.5.5.5.5.5.4.4.0.0.0.6.7.7.6,142,192,
2050010FF80814,1.1.0.2.0.3.2.0.3.4.4.0.5.5.5.5.5.5.4.4.0.6.0.7.6.0.7,214,300,
8000F7A00C63,0.0.0.0.1.1.0.0.0.3.2.2.3.2.2.3.2.2.4.4.4.5.5.5.6.6.6,79,158,
80018C638C63,0.0.0.0.1.1.0.0.0.2.2.2.3.3.3.4.4.4.5.5.5.3.3.3.6.6.6,74,140,
18000F7A00631,0.0.0.1.1.1.0.0.0.3.2.2.3.2.2.3.2.2.5.4.4.5.6.6.5.7.7,425,850,
108001FC600C61,0.1.1.0.2.2.0.0.0.3.3.3.3.3.3.4.4.4.5.5.5.6.6.6.0.7.7,169,338,
18803FC401062,0.0.0.1.1.1.2.2.3.4.4.4.4.4.4.5.5.3.0.0.0.6.6.6.7.7.3,382,688,
218001FC400C62,1.1.0.2.2.2.0.0.0.3.3.3.3.3.3.4.4.0.5.5.5.6.6.6.7.7.0,158,296,
108400F7A00461,0.1.1.0.2.2.0.3.3.5.4.4.5.4.4.5.4.4.0.6.6.7.7.7.0.8.8,180,360,
108401FC600462,0.1.1.0.2.2.0.3.3.4.4.4.4.4.4.5.5.5.0.6.6.7.7.7.8.8.0,109,218,
1084018C638461,0.1.1.0.2.2.0.3.3.4.4.4.5.5.5.6.6.6.0.7.7.5.5.5.0.8.8,156,264,
1084018C638462,0.1.1.0.2.2.0.3.3.4.4.4.5.5.5.6.6.6.0.7.7.5.5.5.8.8.0,94,160,
10843184618C21,0.1.1.0.2.2.0.3.3.4.4.4.0.2.2.5.5.5.6.6.6.0.2.2.0.7.7,154,256,
100401FC600C61,0.1.1.0.0.0.0.2.2.3.3.3.3.3.3.4.4.4.5.5.5.6.6.6.0.7.7,185,370,
30801FC600C42,0.0.1.2.2.1.3.3.0.4.4.4.4.4.4.5.5.5.6.6.6.7.7.0.8.8.0,442,884,
210801FC600C42,1.1.0.2.2.0.3.3.0.4.4.4.4.4.4.5.5.5.6.6.6.7.7.0.8.8.0,888,1776,
230001FC600C42,1.1.2.3.3.2.0.0.0.4.4.4.4.4.4.5.5.5.6.6.6.7.7.0.8.8.0,298,596,
1080018C23CC61,0.1.1.0.2.2.0.0.0.3.3.3.4.4.4.6.5.5.7.7.7.4.4.4.6.8.8,254,432,
1084018C238C61,0.1.1.0.2.2.0.3.3.4.4.4.5.5.5.0.6.6.7.7.7.5.5.5.0.8.8,790,1404,
10843186218C21,0.1.1.0.2.2.0.3.3.4.4.4.5.2.2.5.6.6.7.7.7.0.2.2.0.8.8,350,560,
108400F7A00431,0.1.1.0.2.2.0.3.3.5.4.4.5.4.4.5.4.4.0.6.6.8.7.7.8.9.9,386,772,
188400F7A00031,2.1.1.2.3.3.0.4.4.6.5.5.6.5.5.6.5.5.0.0.0.8.7.7.8.9.9,190,380,
837E040D8021,2.3.0.4.1.1.5.6.7.2.3.8.4.1.1.5.6.7.0.3.8.0.1.1.0.9.9,160,260,
83FE04098021,2.3.4.5.1.1.6.7.8.2.3.4.5.1.1.6.7.8.0.3.0.0.1.1.0.9.9,306,488,
108400B5A00C63,0.1.1.0.2.2.0.3.3.0.4.4.0.4.4.0.4.4.5.5.5.6.6.6.7.7.7,167,318,
108400F7A00C03,0.1.1.0.2.2.0.3.3.5.4.4.5.4.4.5.4.4.6.6.6.0.0.0.7.7.7,177,354,
248B5A00C63,1.0.0.2.0.0.3.0.0.1.4.4.2.4.4.3.4.4.5.5.5.6.6.6.7.7.7,172,336,
10863084718421,4.1.1.0.2.2.0.3.3.4.5.5.0.2.2.6.6.6.4.7.7.0.2.2.0.8.8,196,324,
100400F7A00631,0.1.1.0.0.0.0.2.2.4.3.3.4.3.3.4.3.3.6.5.5.6.7.7.6.8.8,230,460,
21248B5A00461,2.0.1.3.0.1.4.0.1.2.5.5.3.5.5.4.5.5.0.6.6.7.7.7.0.8.8,216,396,
1084008C238C63,0.1.1.0.2.2.0.3.3.0.4.4.5.5.5.0.6.6.7.7.7.5.5.5.8.8.8,688,1344,
7200B7B0001C,4.0.0.1.2.3.1.2.3.4.5.5.6.5.5.6.5.5.4.0.0.7.8.9.7.8.9,868,1592,
1084308433C421,0.1.1.0.2.2.0.3.3.6.4.4.7.2.2.8.5.5.6.9.9.7.2.2.8.10.10,662,1024,
10843884338421,0.1.1.0.2.2.4.3.3.7.5.5.8.2.2.4.6.6.7.9.9.8.2.2.0.10.10,548,832,
10C6308423C021,5.1.1.3.2.2.3.4.4.5.6.6.8.2.2.9.7.7.0.0.0.8.2.2.9.10.10,246,380,
18C7C0C7F,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.1.1.1.4.4.4.4.4.4,8,11,
18C7C7C63,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.1.1.1.4.4.4.3.3.3,17,35,
100596802C3421,0.1.1.0.0.3.0.2.2.0.1.1.0.0.3.0.2.2.0.1.1.0.4.4.0.2.2,64,122,
