Hexa,Cube,N,E,Name
80018C600060,0.0.0.0.1.1.0.0.0.2.2.2.3.3.3.4.4.4.0.0.0.5.5.5.0.0.0,16,36,3 Bars Clock
18C600460,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.0.4.4.5.5.5.0.0.0,26,60,
800184620020,0.0.0.0.1.1.0.0.0.2.2.2.5.3.3.4.4.4.0.0.0.5.6.6.0.0.0,28,56,
180608840,0.0.0.0.0.0.0.0.0.1.1.1.0.0.3.2.2.2.4.4.0.5.5.3.0.0.0,100,196,
800180600420,0.0.0.0.1.1.0.0.0.2.2.2.0.0.0.3.3.3.0.4.4.0.5.5.0.0.0,204,444,
84018C200060,0.0.0.0.1.1.0.2.2.3.3.3.4.4.4.0.5.5.0.0.0.6.6.6.0.0.0,198,432,
180600C08,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.3.3.3.0.4.0.0.4.0,62,144,
18C002C60,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.3.0.4.4.4.5.5.5.0.3.0,61,139,
180600421,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.0.3.3.0.4.4.0.5.5,356,756,
10000180600021,0.1.1.0.0.0.0.0.0.2.2.2.0.0.0.3.3.3.0.0.0.0.4.4.0.5.5,200,418,
40C1C2060,0.0.0.0.0.0.0.1.0.3.4.5.2.2.2.0.1.0.3.4.5.6.6.6.0.1.0,306,671,
1000018C200061,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.4.4.0.0.0.5.5.5.0.6.6,174,377,
4018C000C60,0.0.0.0.0.0.0.1.1.2.2.2.3.3.3.0.0.0.4.4.4.5.5.5.0.0.0,102,230,
180600C01,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.3.3.3.0.0.0.0.4.4,144,336,
1000018C000461,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.0.0.0.4.4.5.5.5.0.6.6,246,524,
1000018C000861,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.0.0.0.4.4.0.5.5.5.0.6.6,110,230,
10000180600401,0.1.1.0.0.0.0.0.0.2.2.2.0.0.0.3.3.3.0.4.4.0.0.0.0.5.5,424,896,
